Issue,Precision,Recall,F1,AllCorrect,HalfCorrect,Predicted,TrueCount
167,1.0,1.0,1.0,1,1,1,1
293,1.0,1.0,1.0,1,1,1,1
330,0.3333333333333333,1.0,0.5,0,1,3,1
337,1.0,1.0,1.0,1,1,2,2
404,0.5,0.5,0.5,0,1,2,2
459,0.5,1.0,0.6666666666666666,0,1,2,1
471,1.0,1.0,1.0,1,1,1,1
480,1.0,0.3333333333333333,0.5,0,0,1,3
550,0.5,1.0,0.6666666666666666,0,1,2,1
598,0.6666666666666666,0.4,0.5,0,0,3,5
604,1.0,0.5,0.6666666666666666,0,1,1,2
897,0.3333333333333333,0.2,0.25,0,0,3,5
954,0.5,0.25,0.3333333333333333,0,0,2,4
961,1.0,0.6666666666666666,0.8,0,1,2,3
1006,0.5,1.0,0.6666666666666666,0,1,2,1
1109,1.0,1.0,1.0,1,1,3,3
1111,0.16666666666666666,1.0,0.2857142857142857,0,1,6,1
1117,1.0,0.3333333333333333,0.5,0,0,1,3
1150,0.42857142857142855,1.0,0.6,0,1,7,3
1160,0.7,1.0,0.8235294117647058,0,1,10,7
1303,0.5,1.0,0.6666666666666666,0,1,6,3
1319,0.5,0.5,0.5,0,1,2,2
1328,1.0,0.5714285714285714,0.7272727272727273,0,1,4,7
1434,0.5,1.0,0.6666666666666666,0,1,6,3
1520,1.0,0.6666666666666666,0.8,0,1,4,6
1595,0.25,1.0,0.4,0,1,4,1
1649,1.0,0.6,0.75,0,1,3,5
1661,0.0,0.0,0.0,0,0,1,5
1761,1.0,1.0,1.0,1,1,2,2
1855,1.0,1.0,1.0,1,1,3,3
2145,1.0,1.0,1.0,1,1,1,1
2226,1.0,1.0,1.0,1,1,1,1
2366,1.0,0.3333333333333333,0.5,0,0,1,3
2405,1.0,1.0,1.0,1,1,1,1
2423,1.0,1.0,1.0,1,1,1,1
2546,1.0,0.6,0.75,0,1,3,5
2607,1.0,1.0,1.0,1,1,2,2
3112,1.0,1.0,1.0,1,1,1,1
3180,1.0,1.0,1.0,1,1,3,3
3236,1.0,0.5714285714285714,0.7272727272727273,0,1,4,7
3281,0.8333333333333334,0.7142857142857143,0.7692307692307693,0,1,6,7
3355,0.5,1.0,0.6666666666666666,0,1,2,1
3756,0.5,1.0,0.6666666666666666,0,1,2,1
3791,1.0,1.0,1.0,1,1,1,1
3816,1.0,1.0,1.0,1,1,1,1
3978,1.0,1.0,1.0,1,1,3,3
4288,1.0,0.6666666666666666,0.8,0,1,4,6
4426,1.0,1.0,1.0,1,1,1,1
4515,1.0,1.0,1.0,1,1,1,1
5095,0.5,0.5,0.5,0,1,2,2
5442,1.0,1.0,1.0,1,1,1,1
5587,0.5,1.0,0.6666666666666666,0,1,2,1
5706,1.0,1.0,1.0,1,1,1,1
6148,0.5,0.5,0.5,0,1,2,2
6292,0.8333333333333334,0.8333333333333334,0.8333333333333334,0,1,6,6
6469,1.0,1.0,1.0,1,1,2,2
6769,0.0,0.0,0.0,0,0,3,4
6794,0.3333333333333333,1.0,0.5,0,1,3,1
7239,1.0,1.0,1.0,1,1,1,1
7364,1.0,0.16666666666666666,0.2857142857142857,0,0,1,6
7474,1.0,1.0,1.0,1,1,4,4
7633,0.5,1.0,0.6666666666666666,0,1,2,1
7907,1.0,1.0,1.0,1,1,1,1
7930,1.0,1.0,1.0,1,1,1,1
7974,1.0,1.0,1.0,1,1,2,2
8245,1.0,1.0,1.0,1,1,1,1
8248,0.6666666666666666,0.5,0.5714285714285714,0,1,3,4
8276,1.0,1.0,1.0,1,1,2,2
8386,1.0,1.0,1.0,1,1,5,5
8415,0.2857142857142857,1.0,0.4444444444444444,0,1,7,2
8582,1.0,1.0,1.0,1,1,1,1
8825,1.0,1.0,1.0,1,1,1,1
8887,1.0,1.0,1.0,1,1,1,1
9073,0.14285714285714285,1.0,0.25,0,1,7,1
9099,1.0,1.0,1.0,1,1,1,1
9336,1.0,0.6666666666666666,0.8,0,1,2,3
9615,1.0,1.0,1.0,1,1,1,1
9693,1.0,1.0,1.0,1,1,1,1
9764,1.0,1.0,1.0,1,1,1,1
10412,1.0,1.0,1.0,1,1,1,1
10592,1.0,1.0,1.0,1,1,1,1
10593,0.5,1.0,0.6666666666666666,0,1,2,1
11026,1.0,1.0,1.0,1,1,1,1
11118,1.0,0.75,0.8571428571428571,0,1,3,4
11397,1.0,1.0,1.0,1,1,1,1
11777,1.0,0.5,0.6666666666666666,0,1,1,2
11922,1.0,0.75,0.8571428571428571,0,1,3,4
11968,0.25,1.0,0.4,0,1,4,1
12325,0.6666666666666666,1.0,0.8,0,1,9,6
12525,1.0,0.8,0.8888888888888888,0,1,4,5
12680,1.0,1.0,1.0,1,1,1,1
12711,1.0,0.5,0.6666666666666666,0,1,1,2
13131,0.6666666666666666,1.0,0.8,0,1,3,2
13376,1.0,0.5,0.6666666666666666,0,1,1,2
13606,1.0,1.0,1.0,1,1,1,1
13818,0.5714285714285714,0.8,0.6666666666666666,0,1,7,5
13901,0.8,1.0,0.8888888888888888,0,1,5,4
13967,1.0,0.4,0.5714285714285714,0,0,2,5
13968,1.0,1.0,1.0,1,1,1,1
14098,0.2,0.5,0.2857142857142857,0,1,5,2
14162,1.0,0.3333333333333333,0.5,0,0,1,3
14286,0.2857142857142857,1.0,0.4444444444444444,0,1,7,2
14403,1.0,1.0,1.0,1,1,1,1
14524,0.0,0.0,0.0,0,0,1,1
14670,0.3333333333333333,1.0,0.5,0,1,3,1
14850,0.6666666666666666,1.0,0.8,0,1,3,2
14953,0.8571428571428571,1.0,0.9230769230769231,0,1,7,6
15063,1.0,1.0,1.0,1,1,4,4
15139,0.5,1.0,0.6666666666666666,0,1,4,2
15378,1.0,0.5,0.6666666666666666,0,1,1,2
15462,1.0,1.0,1.0,1,1,2,2
